TVSBS               4.39	2.67	1.83	1.68	1.24	1.13	1.09	0.98	1.05	1.07	1.00	0.87
FJS                 3.98	2.69	2.03	1.48	1.19	1.09	1.04	0.97	0.86	0.96	0.91	0.81
HASH8               2.08	2.23	11.87	2.22	1.20	1.17	0.85	0.83	0.90	0.83	0.85	0.88
SO                  2.09	2.29	1.91	2.24	1.90	1.71	1.75	1.64	1.56	1.62	1.63	1.82
SBNDM               3.30	1.46	1.11	0.90	0.81	0.99	1.03	1.06	0.99	0.92	0.95	1.19
LBNDM               3.03	2.29	1.86	1.40	0.95	0.76	0.90	0.79	0.82	0.84	0.86	1.36
SBNDM2              2.21	1.23	0.96	0.87	0.80	1.04	0.78	0.87	0.90	0.76	0.79	0.84
SBNDM-BMH           3.29	2.30	1.67	1.18	0.91	0.98	0.90	0.97	0.99	0.95	0.94	0.95
FNDM                2.58	2.16	1.86	1.45	0.95	1.03	1.02	0.98	0.97	0.96	0.84	0.95
FSBNDM              2.17	1.38	1.20	0.90	0.83	0.79	0.91	0.89	0.87	0.90	0.79	0.83
SBNDMQ8             2.27	2.21	5.27	1.18	0.87	0.89	0.82	0.85	0.91	1.11	0.91	1.01
UFNDMQ2             1.93	1.34	1.11	0.98	0.85	0.90	0.87	0.81	0.91	1.16	0.87	0.81
UFNDMQ8             2.20	2.12	1.38	1.13	0.91	0.87	0.91	0.92	0.84	1.06	0.95	0.80
KBNDM               3.47	1.97	1.40	1.12	1.08	0.85	0.87	0.93	0.86	0.94	0.90	0.86
FS-W2               2.79	2.00	1.57	1.04	0.99	0.97	0.90	1.00	0.78	1.12	0.83	0.76
LWFR5               2.11	2.30	3.07	0.98	0.81	0.83	0.76	0.73	0.70	0.86	0.77	0.77
QF43                2.52	2.58	1.67	0.89	0.77	0.70	0.89	0.72	0.61	0.93	0.57	0.57
SBNDM-W2            2.59	2.02	1.91	1.06	0.97	0.87	0.88	0.93	0.92	1.07	0.91	0.84
WFR2                2.97	1.62	1.42	0.93	1.02	0.80	0.81	0.82	0.91	1.09	0.85	0.71
TWFRQ2              2.45	1.51	1.41	1.15	1.05	0.85	0.82	0.86	0.95	0.77	0.80	0.72
TWFRQ4              2.48	2.71	1.51	1.18	0.84	0.79	0.86	0.71	0.76	0.89	0.82	0.64
WOM                 3.66	2.62	2.04	1.44	1.09	1.05	0.99	1.09	0.88	1.04	0.82	0.77
LIBC1               2.07	1.37	1.20	1.16	0.82	0.88	0.78	0.81	0.84	1.21	0.87	0.76
MUSL1               0.01	0.08	0.61	0.78	0.69	0.53	0.46	0.41	0.44	0.57	0.48	0.38
SIMDKR              0.84	0.94	0.77	0.80	0.75	0.89	0.78	0.75	0.84	1.18	0.77	0.90
EPSM                0.91	0.77	0.94	1.26	0.82	0.93	0.69	0.68	0.77	1.14	0.87	0.94
