TVSBS               8.66	4.30	2.99	2.48	2.37	2.78	3.09	2.74	2.97	2.82	2.95	2.22
FJS                 8.85	4.78	4.45	4.18	5.38	6.72	6.07	5.64	5.94	6.72	6.07	5.22
HASH8               3.25	1.90	11.73	1.87	1.72	1.32	1.08	0.95	1.04	1.07	1.30	0.89
SO                  2.64	1.70	1.73	1.56	2.68	2.32	2.15	1.85	2.42	2.01	2.06	1.72
SBNDM               4.63	2.32	1.92	1.36	1.75	1.72	1.39	1.64	1.62	1.58	1.79	1.31
LBNDM               9.23	4.41	2.44	1.55	1.67	1.64	1.44	2.82	14.05	14.66	11.65	8.66
SBNDM2              3.84	2.16	1.98	1.36	1.54	0.98	1.44	1.19	1.39	1.50	1.43	1.17
SBNDM-BMH           7.70	3.53	2.16	1.41	1.51	1.55	1.54	1.55	1.59	1.71	1.62	1.40
FNDM                7.95	4.02	2.50	1.71	1.98	1.72	1.64	1.86	1.95	1.94	1.88	1.41
FSBNDM              7.07	3.31	2.13	1.21	1.53	1.68	1.70	1.43	1.53	1.56	1.70	1.12
SBNDMQ8             3.38	2.01	4.56	1.01	1.23	1.13	1.01	1.05	1.12	1.06	0.89	0.94
UFNDMQ2             3.48	2.66	2.16	1.29	1.70	1.56	1.43	1.43	1.59	1.52	1.30	1.13
UFNDMQ8             2.58	1.98	1.23	0.87	1.06	1.00	1.18	1.01	1.24	1.41	0.97	0.88
KBNDM               5.11	2.70	1.94	1.51	1.56	1.20	1.45	1.41	1.33	1.24	0.91	0.98
FS-W2               6.02	3.52	2.51	2.61	2.95	2.56	2.63	1.90	2.04	2.16	1.53	1.44
LWFR5               2.58	1.79	2.56	1.10	1.27	1.12	0.98	1.05	0.85	1.06	0.68	0.84
QF43                2.40	1.98	1.12	0.91	1.11	1.07	1.02	1.05	0.98	0.97	0.60	0.99
SBNDM-W2            8.84	4.06	2.12	1.75	1.54	1.21	1.53	1.38	1.45	1.40	0.96	1.27
WFR2                5.22	2.50	1.93	1.64	1.41	1.31	1.15	0.99	1.12	1.04	0.71	0.85
TWFRQ2              4.45	2.44	1.84	1.55	1.41	1.20	1.12	1.26	0.86	0.99	0.80	0.76
TWFRQ4              2.69	2.44	1.07	1.12	0.97	1.10	0.99	1.22	0.87	0.94	0.74	0.74
WOM                 7.83	4.68	3.17	3.37	3.69	3.33	2.61	2.57	2.87	2.19	1.91	1.88
LIBC1               4.00	2.66	2.12	1.98	1.90	1.77	1.32	1.60	5.13	4.73	3.49	3.52
MUSL1               0.01	0.01	0.21	2.15	2.61	2.85	2.36	2.11	2.77	2.55	2.33	2.25
SIMDKR              1.12	1.27	1.20	1.30	1.75	1.90	1.80	1.50	1.69	1.65	1.33	1.38
EPSM                0.68	0.73	0.92	1.17	1.05	0.91	0.87	0.90	0.96	0.97	0.86	1.08
