TVSBS               2.96	2.33	1.97	1.31	1.23	1.17	1.05	1.09	1.14	0.91	0.84	0.75
FJS                 2.60	1.94	1.59	1.20	0.96	0.91	0.85	0.98	0.85	0.77	0.72	0.65
HASH8               2.13	2.03	12.82	2.00	1.08	0.91	0.91	0.81	0.99	0.90	0.84	0.84
SO                  1.93	2.13	2.43	1.78	2.03	1.96	1.67	1.51	1.96	2.19	1.57	1.73
SBNDM               3.30	1.39	1.45	0.84	0.84	0.76	0.85	0.78	0.75	0.78	0.82	0.75
LBNDM               1.84	1.66	1.26	0.92	0.81	0.83	0.93	0.80	0.73	0.68	0.64	0.62
SBNDM2              2.00	1.06	0.94	0.94	0.75	-	-	-	-	-	-	-
SBNDM-BMH           2.16	1.64	1.26	0.91	0.80	0.84	0.88	0.87	0.79	0.76	0.85	0.84
FNDM                1.77	1.31	1.19	0.88	0.76	0.80	0.94	0.90	0.83	0.77	0.77	0.77
FSBNDM              1.36	1.08	0.89	0.84	0.67	0.69	0.89	0.75	0.69	0.67	0.77	0.71
SBNDMQ8             2.07	2.14	5.11	1.35	0.78	0.85	0.81	0.83	0.86	0.96	0.86	0.83
UFNDMQ2             1.50	1.21	0.92	0.99	0.81	0.74	0.78	0.72	0.78	0.83	0.71	0.73
UFNDMQ8             2.17	2.21	1.54	0.95	0.83	0.98	0.85	0.87	0.90	0.99	0.86	0.82
KBNDM               2.98	2.02	1.39	1.14	0.90	0.99	0.81	0.91	0.75	0.95	0.83	0.88
FS-W2               1.95	1.48	1.04	0.93	0.96	-	-	0.75	-	-	-	-
LWFR5               2.10	2.28	3.02	1.04	1.06	0.83	0.84	0.69	0.69	0.76	0.74	1.21
QF43                2.28	2.48	1.09	0.83	0.84	0.73	0.78	0.64	0.64	0.62	0.64	0.65
SBNDM-W2            1.74	1.16	1.12	0.87	0.84	0.91	0.86	0.87	0.78	0.86	0.80	0.91
WFR2                2.56	1.46	1.48	0.90	0.88	0.74	0.91	0.85	0.69	0.72	0.91	1.86
TWFRQ2              1.86	1.27	0.95	0.95	1.00	0.83	0.80	0.71	0.86	0.77	1.13	1.58
TWFRQ4              2.46	2.54	1.01	0.97	0.79	0.82	0.69	0.77	0.72	0.75	0.74	1.19
WOM                 3.05	2.23	1.55	1.13	0.94	0.99	0.92	0.83	0.84	0.82	0.72	0.59
LIBC1               1.61	1.23	1.17	0.83	0.80	0.88	0.83	0.91	0.80	0.78	0.73	0.74
MUSL1               0.13	0.57	0.52	0.50	0.46	0.43	0.39	0.46	0.42	0.38	0.36	0.38
SIMDKR              0.89	0.82	0.75	0.78	0.76	0.76	0.87	0.84	0.69	0.73	0.72	0.72
EPSM                0.83	0.95	0.93	1.08	0.74	0.68	0.75	0.75	0.75	0.83	0.79	1.15
