BF                  2.97	2.97	3.07	2.96	2.97	3.00	2.92	2.93	2.91	2.92	2.94	2.97
MP                  4.86	4.88	4.89	4.80	4.84	4.83	4.86	4.82	4.85	4.82	4.78	4.86
KMP                 4.71	4.72	4.68	4.76	4.73	4.73	4.76	4.70	4.66	4.61	4.68	4.79
BM                  5.18	3.13	2.06	1.45	1.16	1.01	0.92	0.87	0.81	0.78	0.74	0.73
HOR                 3.56	2.23	1.53	1.20	0.99	0.89	0.83	0.78	0.76	0.73	0.73	0.68
GS                  8.04	8.24	8.43	8.26	8.37	8.27	8.48	8.40	8.15	8.44	8.32	8.36
AG                  8.63	6.15	4.85	3.23	2.46	1.92	1.80	1.61	1.71	1.91	2.30	3.33
KR                  2.41	2.27	2.20	2.16	2.16	2.16	2.21	2.17	2.15	2.17	2.16	2.18
ZT                  4.77	2.74	1.68	1.17	0.94	0.81	0.74	0.74	0.75	0.73	0.69	-
AC                  4.45	4.43	4.29	4.28	4.28	4.25	4.24	4.19	4.18	4.27	4.17	4.35
TW                  3.46	3.41	3.24	3.18	2.97	2.82	2.76	2.70	2.63	2.55	2.58	2.57
OM                  3.30	2.34	1.68	1.31	1.09	0.98	0.89	0.83	0.83	0.84	0.98	-
MS                  3.37	2.42	1.64	1.24	1.01	0.92	0.83	0.82	0.86	1.07	1.59	-
QS                  3.42	2.48	1.75	1.29	1.07	0.95	0.88	0.81	0.78	0.76	0.75	0.72
NSN                 2.91	2.98	3.03	2.94	2.98	2.97	2.95	2.90	2.93	3.00	2.93	2.99
TBM                 6.27	3.74	2.39	1.68	1.31	1.12	1.02	0.91	0.87	0.83	0.77	0.76
COLUSSI             4.84	4.98	5.01	5.01	5.02	4.96	4.97	4.91	4.94	5.01	4.91	5.06
SMITH               3.73	2.36	1.62	1.18	0.98	0.87	0.80	0.76	0.73	0.72	0.71	0.68
GG                  5.05	5.37	5.37	5.28	5.30	5.34	5.36	5.26	5.34	5.43	5.26	5.32
RAITA               4.14	2.55	1.69	1.27	1.05	0.91	0.86	0.79	0.77	0.76	0.72	0.69
SMOA                4.73	4.74	4.88	4.72	4.69	4.76	4.74	4.63	4.63	4.63	4.68	4.78
RCOLUSSI            -	-	-	-	-	-	-	-	-	-	-	-
SKIP                2.57	2.24	1.87	1.51	1.26	1.12	1.01	0.97	1.01	1.17	1.32	1.55
KMPSKIP             2.78	2.48	2.20	1.79	1.50	1.34	1.28	1.24	1.26	1.28	1.26	1.27
ASKIP               2.84	2.27	1.75	1.28	1.05	1.14	1.57	2.67	5.14	9.97	19.86	39.44
BR                  2.98	2.22	1.61	1.19	0.94	0.82	0.74	0.72	0.73	0.72	0.68	0.69
AKC                 14.56	9.51	6.33	4.16	-	7.00	4.56	-	-	2.66	2.39	2.79
FS                  3.55	2.24	1.55	1.17	1.01	0.90	0.84	0.80	0.78	0.77	0.73	0.72
FFS                 3.42	2.26	1.60	1.24	1.05	0.95	0.88	0.85	0.86	0.85	0.88	-
BFS                 3.48	2.30	1.63	1.23	1.05	0.95	0.89	0.85	0.87	0.86	0.87	1.02
TS                  2.34	2.15	1.69	1.41	1.17	1.08	1.02	1.04	1.05	1.02	1.02	1.01
SSABS               2.95	2.19	1.57	1.28	1.12	0.95	0.89	0.81	0.78	0.76	0.73	0.70
TVSBS               2.82	2.16	1.57	1.21	0.92	0.81	0.74	0.74	0.71	0.70	0.67	-
PBMH                3.87	2.33	1.53	1.14	0.97	0.88	0.83	0.84	0.99	1.62	4.34	18.03
FJS                 3.02	2.24	1.65	1.32	1.08	0.98	0.92	0.86	0.82	0.79	0.77	0.75
HASH3               2.12	3.56	1.59	1.03	0.80	0.72	0.67	0.69	0.69	0.67	0.67	0.69
HASH5               2.13	2.12	2.22	1.14	0.85	0.72	0.67	0.68	0.70	0.68	0.72	0.69
HASH8               2.14	2.12	8.30	1.44	0.90	0.75	0.69	0.70	0.71	0.70	0.69	0.69
TSW                 2.23	1.73	1.31	1.01	0.84	0.75	0.70	0.70	0.70	0.68	0.67	0.66
GRASPM              3.40	2.12	-	-	-	-	-	-	-	-	-	-
SSEF                2.14	2.15	2.15	2.12	5.23	5.31	5.12	5.04	5.71	6.03	8.50	17.25
AUT                 3.87	3.85	3.83	3.83	3.87	3.90	3.94	4.11	4.37	4.94	5.94	7.94
RF                  2.76	2.32	1.79	1.26	0.97	0.92	0.95	1.12	1.52	2.35	4.18	7.62
TRF                 3.33	2.61	2.02	1.46	1.11	1.14	1.16	1.42	2.10	3.56	6.46	11.85
SIMON               -	-	-	-	-	-	-	-	-	-	-	-
FDM                 6.17	7.42	8.60	9.37	9.37	10.20	11.71	13.48	16.46	20.77	26.32	33.84
BOM                 3.80	3.18	2.56	2.06	1.75	1.41	1.14	0.99	0.92	0.85	0.89	1.03
BOM2                3.23	2.57	1.90	1.33	1.01	0.91	0.86	0.92	1.10	1.53	2.43	4.46
DFDM                4.83	6.14	7.63	8.36	8.17	9.14	11.02	12.79	15.53	19.74	26.51	33.57
WW                  3.75	2.75	2.07	1.44	1.07	1.10	1.16	1.46	2.23	3.85	6.87	12.57
LDM                 5.34	5.16	4.76	4.20	3.96	4.29	4.66	5.07	5.95	7.72	11.29	18.05
ILDM1               3.21	2.56	2.02	1.42	1.06	1.12	1.24	1.59	2.46	4.32	7.74	14.22
ILDM2               3.11	2.44	1.85	1.34	1.00	1.06	1.22	1.59	2.48	4.32	7.71	14.41
EBOM                2.24	1.28	0.96	0.88	0.85	0.83	0.85	0.91	1.10	1.54	2.50	4.54
FBOM                3.07	2.11	1.49	1.13	0.99	0.91	0.90	0.94	1.11	1.57	2.53	4.52
SEBOM               1.73	1.14	0.90	0.83	0.85	0.84	0.85	0.94	1.10	1.55	2.48	4.55
SFBOM               3.28	2.24	1.55	1.19	1.01	0.91	0.87	0.91	1.11	1.55	2.48	4.53
SKIP2               1.97	1.18	0.96	0.85	0.81	0.78	0.75	0.73	0.74	0.75	0.82	1.03
SKIP3               2.11	1.38	0.89	0.77	0.74	0.70	0.69	0.67	0.71	0.71	0.76	0.91
