BF                  2.66	2.70	2.63	2.66	2.63	2.62	2.68	2.62	2.68	2.64	2.66	2.68
MP                  4.68	4.66	4.64	4.66	4.71	4.65	4.73	4.66	4.72	4.70	4.64	4.73
KMP                 4.54	4.56	4.55	4.52	4.56	4.55	4.52	4.56	4.61	4.56	4.53	4.57
BM                  5.00	2.90	1.84	1.36	1.12	1.04	0.98	0.96	0.96	0.96	0.95	0.96
HOR                 3.41	2.05	1.39	1.10	0.95	0.90	0.87	0.86	0.86	0.85	0.86	0.86
GS                  7.76	8.18	7.76	7.97	8.03	8.11	8.05	7.98	8.09	7.94	7.91	7.92
AG                  8.28	5.83	4.46	3.15	2.32	2.05	2.15	2.25	2.69	3.77	5.63	9.99
KR                  2.75	2.27	2.19	2.17	2.15	2.16	2.19	2.14	2.14	2.20	2.21	2.22
ZT                  4.59	2.55	1.57	1.11	0.88	0.76	0.71	0.74	0.74	0.71	0.71	-
AC                  4.21	4.13	4.13	4.13	4.14	4.06	4.12	4.06	4.13	4.10	4.13	4.15
TW                  3.27	3.05	3.01	3.02	3.03	3.04	2.99	3.04	3.03	2.96	3.02	3.00
OM                  3.17	2.17	1.56	1.22	1.02	0.96	0.92	0.94	0.93	0.97	1.16	-
MS                  3.16	2.17	1.54	1.19	1.02	0.93	0.88	0.90	0.94	1.11	1.70	-
QS                  3.21	2.24	1.56	1.21	1.03	0.95	0.92	0.93	0.92	0.89	0.91	0.96
NSN                 2.76	2.74	2.72	2.76	2.72	2.71	2.73	2.76	2.70	2.71	2.69	2.68
TBM                 6.08	3.50	2.16	1.55	1.25	1.15	1.08	1.06	1.05	1.06	1.03	1.04
COLUSSI             4.73	4.84	4.86	4.87	4.82	4.86	4.84	4.84	4.79	4.84	4.82	4.83
SMITH               3.65	2.30	1.55	1.16	0.97	0.92	0.85	0.88	0.90	0.87	0.89	0.87
GG                  4.84	5.12	5.15	5.14	5.20	5.14	5.21	5.20	5.02	5.14	5.09	5.14
RAITA               3.90	2.30	1.54	1.14	1.01	0.94	0.90	0.90	0.91	0.89	0.89	0.90
SMOA                4.38	4.25	4.18	4.23	4.32	4.27	4.31	4.39	4.25	4.24	4.22	4.33
RCOLUSSI            -	-	-	-	-	-	-	-	-	-	-	-
SKIP                2.40	2.00	1.66	1.37	1.13	0.95	0.87	0.90	0.90	1.07	1.17	1.33
KMPSKIP             2.43	2.12	1.86	1.59	1.32	1.14	1.07	1.06	1.03	1.12	1.10	1.08
ASKIP               2.40	1.94	1.60	1.22	1.01	1.11	1.60	2.83	5.66	11.20	22.77	47.37
BR                  2.62	1.99	1.41	1.09	0.86	0.75	0.70	0.72	0.72	0.72	0.73	0.71
AKC                 14.06	8.82	5.78	3.99	2.84	6.83	-	3.21	3.24	2.67	2.41	2.82
FS                  3.37	2.06	1.40	1.09	0.95	0.92	0.87	0.86	0.86	0.84	0.83	0.86
FFS                 3.26	2.12	1.49	1.17	1.00	0.95	0.90	0.87	0.87	0.89	0.92	-
BFS                 3.31	2.10	1.49	1.15	1.00	0.96	0.91	0.88	0.88	0.89	0.93	1.06
TS                  2.07	1.90	1.66	1.39	1.16	0.99	0.87	0.80	0.79	0.77	0.82	0.88
SSABS               2.80	1.98	1.42	1.16	1.02	0.95	0.93	0.92	0.93	0.92	0.92	0.93
