BF                  1.21	1.18	1.20	1.16	1.22	1.29	1.19	1.20	1.18	1.20	1.19	1.20
MP                  2.17	2.09	2.17	2.05	2.18	2.27	2.13	2.20	2.07	2.17	2.13	2.17
KMP                 2.18	2.09	2.18	2.06	2.20	2.32	2.20	2.22	2.08	2.18	2.15	2.18
BM                  2.29	1.33	0.88	0.61	0.48	0.45	0.36	0.32	0.30	0.29	0.27	0.27
HOR                 1.80	1.04	0.78	0.51	0.43	0.40	0.33	0.31	0.29	0.28	0.27	0.26
GS                  2.08	2.00	2.16	1.99	2.09	2.02	2.07	2.11	1.99	2.05	2.10	2.04
AG                  3.51	2.14	1.61	1.09	0.82	0.68	0.69	0.71	0.76	1.07	1.31	1.94
KR                  0.82	0.69	0.71	0.68	0.70	0.68	0.70	0.70	0.67	0.71	0.70	0.70
ZT                  2.32	1.27	0.77	0.51	0.38	0.30	0.29	0.25	0.24	0.24	0.23	-
AC                  1.80	1.65	1.67	1.68	1.73	1.63	1.80	1.74	1.64	1.76	1.71	1.73
TW                  1.12	1.07	1.13	1.12	1.05	0.88	0.78	0.69	0.67	0.68	0.68	0.67
OM                  1.58	1.09	0.76	0.57	0.46	0.40	0.39	0.33	0.31	0.34	0.43	-
MS                  1.55	1.07	0.73	0.52	0.43	0.37	0.37	0.32	0.32	0.41	0.74	-
QS                  1.46	1.02	0.71	0.50	0.42	0.35	0.36	0.30	0.28	0.28	0.26	0.25
NSN                 1.02	0.97	1.00	1.01	1.03	0.97	1.08	1.04	0.97	1.05	0.98	1.02
TBM                 2.72	1.56	1.00	0.69	0.59	0.44	0.44	0.35	0.32	0.31	0.30	0.29
COLUSSI             2.29	2.14	2.16	2.24	2.31	2.19	2.36	2.31	2.17	2.33	2.28	2.30
SMITH               1.66	1.05	0.69	0.49	0.40	0.31	0.32	0.27	0.25	0.25	0.24	0.24
GG                  2.60	2.61	2.46	2.55	2.61	2.44	2.68	2.63	2.47	2.64	2.59	2.61
RAITA               1.79	1.08	0.70	0.51	0.42	0.36	0.33	0.31	0.28	0.28	0.27	0.26
SMOA                1.65	1.67	1.60	1.60	1.68	1.60	1.62	1.70	1.63	1.64	1.69	1.62
RCOLUSSI            -	-	-	-	-	-	-	-	-	-	-	-
SKIP                1.00	1.01	0.77	0.60	0.53	0.40	0.36	0.35	0.33	0.39	0.46	0.53
KMPSKIP             1.06	1.06	0.85	0.66	0.60	0.47	0.41	0.40	0.37	0.37	0.38	0.37
ASKIP               1.21	1.04	0.80	0.51	0.44	0.41	0.54	0.89	1.66	3.03	5.90	12.00
BR                  1.33	0.96	0.67	0.47	0.41	0.29	0.25	0.24	0.23	0.23	0.22	0.22
AKC                 4.61	2.87	1.98	1.33	0.93	1.89	1.33	1.14	1.16	1.06	0.95	1.08
FS                  1.64	0.97	0.65	0.49	0.39	0.34	0.31	0.29	0.28	0.26	0.26	0.26
FFS                 1.62	0.95	0.64	0.49	0.37	0.32	0.29	0.27	0.27	0.26	0.27	-
BFS                 1.65	0.99	0.64	0.50	0.37	0.33	0.29	0.28	0.27	0.26	0.27	0.29
TS                  0.93	0.82	0.62	0.50	0.43	0.37	0.35	0.35	0.33	0.33	0.35	0.35
SSABS               1.45	1.00	0.72	0.54	0.44	0.38	0.34	0.32	0.31	0.28	0.28	0.27
TVSBS               1.28	1.03	0.64	0.47	0.40	0.34	0.26	0.24	0.25	0.24	0.25	-
PBMH                1.85	1.06	0.69	0.50	0.40	0.35	0.34	0.45	0.75	1.99	7.35	28.51
FJS                 1.46	1.01	0.74	0.56	0.45	0.40	0.35	0.37	0.32	0.30	0.29	0.28
HASH3               0.84	1.69	0.72	0.43	0.32	0.28	0.23	0.26	0.24	0.22	0.22	0.22
HASH5               0.85	0.82	1.05	0.50	0.35	0.30	0.23	0.26	0.24	0.22	0.23	0.23
HASH8               0.84	0.82	4.06	0.66	0.37	0.32	0.24	0.26	0.24	0.23	0.23	0.23
TSW                 0.97	0.74	0.51	0.39	0.31	0.30	0.24	0.25	0.22	0.21	0.21	0.21
GRASPM              1.63	0.97	0.63	0.48	0.38	0.37	0.30	0.30	0.26	0.25	0.24	0.24
SSEF                0.86	0.84	0.82	0.84	2.45	2.62	2.52	2.66	2.61	2.77	4.19	9.17
AUT                 1.97	1.82	1.78	1.83	1.77	1.81	1.87	2.09	2.05	2.19	2.73	3.56
RF                  1.19	0.99	0.81	0.60	0.43	0.38	0.38	0.47	0.59	0.88	1.74	2.95
TRF                 1.41	1.23	0.96	0.70	0.49	0.46	0.47	0.56	0.82	1.33	2.81	4.82
SIMON               1.52	1.61	1.60	1.59	1.53	1.58	1.62	1.58	1.63	1.55	1.75	1.68
FDM                 2.02	2.71	3.23	3.52	3.53	3.93	4.85	5.43	6.97	7.96	10.12	13.17
BOM                 1.34	1.24	1.12	0.92	0.73	0.56	0.45	0.36	0.32	0.28	0.28	0.33
BOM2                1.20	1.02	0.82	0.57	0.41	0.35	0.32	0.33	0.40	0.55	0.86	1.61
DFDM                2.10	2.75	3.10	3.56	3.53	3.96	4.86	5.41	7.01	8.08	9.84	13.65
WW                  1.51	1.25	0.91	0.64	0.44	0.42	0.45	0.55	0.83	1.32	2.42	4.86
LDM                 1.75	1.65	1.44	1.56	1.72	1.97	2.22	2.33	2.74	3.30	4.58	7.65
ILDM1               1.20	1.06	0.83	0.63	0.42	0.42	0.50	0.60	0.95	1.59	2.85	5.84
ILDM2               1.38	1.13	0.85	0.63	0.43	0.43	0.52	0.61	0.95	1.59	2.84	5.86
EBOM                0.70	0.46	0.38	0.39	0.34	0.32	0.31	0.33	0.41	0.57	0.91	1.62
FBOM                1.60	1.06	0.70	0.52	0.42	0.35	0.32	0.34	0.41	0.56	0.92	1.62
SEBOM               0.73	0.47	0.38	0.35	0.34	0.32	0.31	0.33	0.41	0.56	0.91	1.62
SFBOM               1.71	1.11	0.73	0.55	0.45	0.36	0.32	0.34	0.41	0.57	0.92	1.62
SKIP2               0.86	0.51	0.40	0.34	0.36	0.29	0.26	0.25	0.25	0.25	0.29	0.35
SKIP3               0.87	0.56	0.35	0.29	0.30	0.25	0.24	0.24	0.24	0.24	0.27	0.32
SKIP4               0.85	0.84	0.35	0.27	0.24	0.22	0.22	0.21	0.23	0.23	0.26	0.31
SKIP5               0.82	0.84	0.38	0.27	0.24	0.22	0.22	0.21	0.22	0.22	0.26	0.31
SKIP6               0.82	0.84	0.48	0.28	0.23	0.22	0.21	0.21	0.22	0.22	0.26	0.31
SKIP7               0.82	0.84	0.69	0.30	0.24	0.22	0.21	0.21	0.22	0.22	0.25	0.31
SKIP8               0.81	0.85	1.33	0.33	0.25	0.23	0.22	0.21	0.22	0.22	0.26	0.31
SO                  0.62	0.64	0.64	0.63	0.62	0.60	0.61	0.62	0.62	0.60	0.63	0.62
SA                  0.83	0.85	0.85	0.82	0.82	0.79	0.80	0.82	0.82	0.80	0.82	0.82
BNDM                0.98	0.89	0.73	0.50	0.36	0.36	0.37	0.38	0.37	0.37	0.37	0.37
BNDML               0.99	0.89	0.73	0.51	0.37	0.38	0.32	0.30	0.29	0.30	0.42	0.78
