BF                  3.32	3.23	3.27	3.40	3.21	3.38	3.35	3.35	3.36	3.18	3.19	3.23
MP                  3.58	3.51	3.48	3.66	3.49	3.64	3.64	3.63	3.62	3.47	3.46	3.47
KMP                 3.54	3.39	3.40	3.55	3.35	3.53	3.53	3.52	3.54	3.39	3.33	3.35
BM                  3.59	3.08	2.47	1.90	1.42	1.20	0.98	0.83	0.74	0.65	0.62	0.54
HOR                 3.44	3.02	2.99	3.42	3.29	3.62	3.54	3.57	3.48	3.32	3.38	3.45
GS                  4.75	4.37	4.38	4.42	4.33	4.60	4.54	4.55	4.33	4.33	4.34	4.38
AG                  5.72	4.36	3.46	2.53	1.96	1.86	1.77	1.86	2.00	2.54	3.48	5.29
KR                  2.45	1.08	0.71	0.69	0.67	0.70	0.71	0.70	0.68	0.68	0.68	0.69
ZT                  3.64	2.68	2.12	1.57	1.21	1.05	0.86	0.74	0.64	0.59	0.55	-
AC                  3.53	2.94	2.53	2.50	2.49	2.63	2.62	2.62	2.68	2.51	2.54	2.60
TW                  3.19	2.81	2.63	2.54	2.60	2.73	2.78	2.81	2.81	2.71	2.73	2.83
OM                  2.88	2.59	2.03	1.50	1.19	0.99	0.84	0.74	0.69	0.73	1.19	-
MS                  2.90	2.61	2.19	1.65	1.39	1.23	1.10	1.01	0.97	1.02	1.51	-
QS                  3.20	3.23	3.37	3.56	3.53	3.56	3.65	3.70	3.67	3.50	3.60	3.67
NSN                 3.00	3.09	2.98	2.95	2.95	2.93	3.04	3.05	3.04	2.93	2.92	3.03
TBM                 3.86	3.27	2.53	1.86	1.45	1.26	1.03	0.90	0.78	0.69	0.67	0.58
COLUSSI             3.73	3.37	2.95	2.83	2.82	2.87	2.97	2.97	3.03	2.83	2.90	2.90
SMITH               3.43	2.21	1.81	1.70	1.70	1.64	1.64	1.66	1.65	1.60	1.59	1.62
GG                  3.24	3.46	3.12	2.99	2.97	2.99	3.15	3.15	3.20	3.00	3.08	3.07
RAITA               3.62	3.17	3.01	3.06	3.30	3.31	3.52	3.56	3.55	3.36	3.38	3.41
SMOA                4.20	4.17	4.08	4.15	4.15	4.20	4.40	4.35	4.38	4.18	4.15	4.16
RCOLUSSI            1.96	-	-	-	-	-	-	-	-	-	-	-
SKIP                3.05	2.96	2.91	2.96	2.92	2.83	2.93	2.92	2.84	2.84	2.83	2.89
KMPSKIP             3.62	3.20	3.05	3.14	3.28	3.41	3.67	3.73	3.58	3.68	3.59	3.62
ASKIP               4.27	2.88	1.54	0.98	0.66	0.51	0.46	0.49	0.66	0.95	1.64	3.03
BR                  2.92	2.91	2.79	2.95	2.73	2.84	2.78	2.85	2.69	2.71	2.78	2.73
AKC                 6.20	5.05	3.78	2.76	-	-	-	-	-	-	-	4.39
FS                  3.31	2.61	2.06	1.54	1.18	1.02	0.83	0.73	0.63	0.57	0.55	0.49
FFS                 2.75	2.34	1.80	1.24	0.91	0.77	0.62	0.53	0.45	0.41	0.41	-
BFS                 3.23	2.76	2.19	1.61	1.24	1.09	0.89	0.77	0.64	0.59	0.59	0.60
TS                  3.02	2.62	2.14	1.78	1.63	1.51	1.38	1.27	1.14	1.07	1.02	0.97
SSABS               2.78	2.98	3.28	3.60	3.49	3.85	3.80	3.85	3.62	3.65	3.76	3.63
TVSBS               2.81	2.70	2.60	2.79	2.83	2.87	2.78	2.65	2.83	2.84	2.91	-
PBMH                3.87	3.32	3.57	3.60	3.87	3.95	3.88	3.97	3.98	4.77	7.95	20.94
FJS                 2.95	2.91	3.30	3.70	3.72	3.91	3.87	3.91	3.66	3.67	3.75	3.72
HASH3               0.82	2.32	1.25	0.91	0.85	0.85	0.83	0.84	0.81	0.83	0.83	0.83
HASH5               0.83	0.84	1.22	0.60	0.43	0.37	0.34	0.34	0.34	0.33	0.34	0.34
HASH8               0.83	0.85	4.30	0.67	0.39	0.30	0.25	0.24	0.24	0.24	0.24	0.24
TSW                 2.23	2.38	2.27	2.16	2.15	2.16	2.12	2.16	2.14	2.09	2.08	2.17
GRASPM              3.26	2.91	2.55	2.17	2.11	1.97	1.84	1.79	1.77	1.71	1.73	1.78
SSEF                0.82	0.85	0.85	0.82	2.57	2.55	2.51	2.53	2.61	2.77	3.99	9.19
AUT                 1.79	1.84	1.81	1.82	1.83	1.84	1.87	1.94	2.05	2.20	2.54	3.55
RF                  4.03	3.18	1.88	1.13	0.78	0.62	0.54	0.53	0.65	0.95	1.53	2.97
TRF                 4.18	3.51	2.17	1.41	0.97	0.79	0.69	0.73	0.99	1.61	2.69	5.45
SIMON               3.35	3.61	3.50	3.64	3.63	3.64	3.63	3.62	3.66	3.65	3.52	3.72
FDM                 3.63	4.53	4.64	5.10	5.82	6.83	7.67	8.79	9.78	11.19	13.27	19.62
BOM                 3.54	3.22	2.39	1.62	1.02	0.73	0.52	0.40	0.33	0.28	0.26	0.27
BOM2                3.55	3.44	2.40	1.59	0.96	0.63	0.47	0.42	0.45	0.59	0.88	1.59
DFDM                3.59	4.52	4.60	5.09	5.79	6.83	7.68	8.83	9.64	11.33	13.52	20.13
WW                  4.07	3.65	2.59	1.71	1.10	0.78	0.66	0.68	0.88	1.45	2.44	4.90
LDM                 3.63	3.19	2.46	2.21	2.28	2.28	2.45	2.52	2.66	3.50	4.68	7.69
ILDM1               3.01	2.54	2.13	1.60	1.18	0.86	0.79	0.81	1.04	1.72	2.93	5.88
ILDM2               3.63	3.02	2.25	1.34	0.89	0.70	0.65	0.72	1.00	1.70	2.94	5.88
EBOM                2.33	2.41	2.01	1.34	0.87	0.59	0.45	0.40	0.45	0.59	0.87	1.59
FBOM                3.37	2.87	2.22	1.47	0.93	0.61	0.47	0.42	0.46	0.60	0.87	1.59
SEBOM               2.40	2.44	2.01	1.34	0.88	0.59	0.43	0.41	0.45	0.59	0.88	1.60
SFBOM               3.42	2.90	2.28	1.47	0.95	0.61	0.47	0.42	0.45	0.59	0.89	1.60
SKIP2               2.72	2.44	2.06	1.86	1.85	1.74	1.64	1.66	1.66	1.71	1.71	1.81
SKIP3               0.84	2.01	1.15	0.80	0.63	0.56	0.52	0.50	0.50	0.52	0.57	0.68
SKIP4               0.85	1.37	1.07	0.97	0.80	0.72	0.68	0.64	0.64	0.64	0.69	0.74
SKIP5               0.84	0.81	0.77	0.69	0.60	0.51	0.48	0.44	0.44	0.45	0.47	0.53
SKIP6               0.85	0.83	0.67	0.50	0.45	0.42	0.38	0.35	0.35	0.35	0.37	0.43
