TVSBS               1.19	0.83	0.62	0.45	0.35	0.29	0.25	0.24	0.24	0.23	0.22	-
SBNDMQ2             0.67	0.37	0.31	0.27	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
BXS2                0.88	0.36	0.31	0.27	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
FS-W8               -	-	-	0.53	0.40	0.33	0.28	0.26	0.26	0.26	0.26	0.27
FSBNDM-W6           -	-	-	0.53	0.40	0.33	0.28	0.26	0.26	0.26	0.26	0.27
FSBNDMQ20           0.66	0.37	0.30	0.27	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
FSBNDMQ41           0.84	0.56	0.34	0.26	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23
LWFR4               0.82	0.81	0.34	0.26	0.23	0.22	0.21	0.21	0.21	0.21	0.22	0.23
QF34                0.81	0.53	0.32	0.26	0.24	0.22	0.21	0.21	0.20	0.20	0.20	0.20
QF43                0.81	0.82	0.34	0.25	0.23	0.21	0.21	0.20	0.20	0.20	0.20	0.20
TSA                 0.76	0.49	0.36	0.29	0.25	0.23	0.28	0.26	0.26	0.26	0.26	0.28
WFRQ3               0.81	0.87	0.41	0.28	0.25	0.23	0.22	0.21	0.21	0.20	0.21	0.21
TWFR3               0.82	0.74	0.37	0.27	0.24	0.23	0.22	0.21	0.21	0.21	0.21	0.22
TWFRQ4              0.81	0.85	0.34	0.26	0.23	0.22	0.21	0.20	0.20	0.26	0.27	0.28
MUSL1               0.59	0.62	0.49	0.45	0.40	0.33	0.28	0.26	0.25	0.25	0.25	0.26
SIMDKR              0.23	0.24	0.23	0.23	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22
KRSIMD              0.60	0.59	0.59	0.59	0.58	0.59	0.58	0.59	0.59	0.59	0.62	0.99
EPSM                0.24	0.27	0.29	0.26	0.22	0.22	0.21	0.23	0.22	0.23	0.26	0.34
HC4                 -	0.84	0.34	0.26	0.23	0.21	0.21	0.23	0.20	0.20	0.20	0.20
LHC3                -	0.53	0.32	0.26	0.24	0.22	0.22	0.22	0.21	0.20	0.20	0.21
LHC7                -	-	0.72	0.31	0.24	0.22	0.21	0.21	0.20	0.20	0.20	0.21
FHC3                -	0.45	0.30	0.25	0.23	0.22	0.21	0.21	0.20	0.20	0.20	0.20
